cluster_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
0,0.07849293,0.11725415,0.03562583,0.0051554074,-0.008157894,0.04559479,-0.15044126,0.03559516,0.12185001,-0.017976966,-0.044688776,-0.065146506,-0.044029824,0.08136076,0.05004494,0.0017991719,-0.092010275,0.12275531,0.07418478,0.121286,-0.035911527,0.030133368,0.031073999,-0.10846488,0.011368706,0.0055366117,-0.010981886,-0.07522109,-0.039725576,-0.06026933,-0.287187,0.018048983,0.04234008,0.009197265,-0.15765166,-0.19555013,-0.02480018,0.0011803977,0.18641402,-0.04647259,-0.01678501,0.14362048,-0.07257468,-0.03368368,-0.1551202,0.050301556,-0.04356626,-0.01949131,-0.08894633,-0.030887378,-0.032787096,-0.08303478,-0.011266074,-0.08062107,-0.10647702,0.055914678,0.05252408,0.045415506,0.02232384,0.01035082,0.10402307,0.12377738,-0.003962246,-0.013753589,-0.12476534,-0.110881396,0.13766249,0.013775015,-0.17707013,-0.032744203,-0.20195849,-0.059641074,0.15946749,0.055092014,0.05121029,0.05769355,0.014100151,-0.01165173,0.078057654,0.07695433,0.12414288,0.033493016,-0.16754237,-0.093477756,0.018054614,-0.05928354,0.110476375,-0.14170733,0.08790344,0.09477078,0.060513344,0.06511849,0.105880894,0.11942882,0.05628596,0.008912976,0.030139223,0.022217533,-0.040931024,-0.022319874,0.061383534,0.048083954,-0.018083157,-0.07676415,0.04814969,-0.033219542,0.015168494,-0.128324,-0.048486453,0.06291421,-0.22933854,-0.019615838,-0.042315274,-0.06177259,-0.039575506,0.17866182,0.054865245,0.08274469,-0.040556155,0.051255085,-0.15707323,0.01993831,-0.16115683,-0.015608682,-0.022421565,-0.10016085,0.011730087,-0.12435983
1,-0.014143338,-0.08472637,-0.10397065,0.026185865,-0.11007056,-0.030189537,0.07418998,0.018690005,0.16530874,0.04101353,0.011491201,0.04720628,0.046085548,-0.08707967,-0.21140423,0.102433704,0.07281175,-0.14175911,-0.1923932,-0.085259266,0.12016145,-0.008284281,-0.03963889,0.081676796,-0.14650148,0.09324634,0.062053263,-0.14510222,0.05022147,-0.05858009,0.1337558,0.053671096,-0.0073124156,-0.006250072,0.0138573265,0.10729834,-0.00048346343,0.081195,0.005002912,0.102713585,-0.1010577,-0.05874003,0.0410678,0.051786467,0.08393681,-0.049387667,0.10634072,-0.106180795,0.09826774,0.016860433,0.16087575,0.01463885,-0.0024855607,0.061669644,-0.03521404,0.024325546,-0.15722315,0.054713033,-0.1970489,0.10589891,-0.010350065,-0.056463633,-0.08918863,0.028709581,0.035996977,0.0071312347,-0.029686904,-0.030792154,0.12895742,0.07805065,0.06375387,-0.04542381,-0.111418605,-0.10129045,0.023479126,6.350869e-05,-0.21831837,0.057005543,0.051655114,0.032071956,-0.09504964,0.15944883,0.25548503,0.014719763,0.07184478,0.11514982,-0.012953341,0.079177834,-0.015149188,-0.018063486,0.05229015,-0.036261797,0.056625184,-0.06897348,0.028479677,0.057843834,-0.098679975,0.0049227485,0.10257595,0.064990476,0.059337713,0.0016013926,-0.13315625,-0.031190915,0.026382161,0.048333492,-0.089431465,-0.0037565818,0.062153816,-0.11043966,0.13979098,0.08943842,0.020982048,0.022199584,-0.06284022,-0.07730733,-0.10651216,0.020966632,0.028508637,0.0038821313,-0.04860238,0.0771793,0.26303533,0.025543347,-0.04700959,0.032178875,-0.0028913221,0.1534274
2,-0.0047393194,-0.03609131,0.14974532,-0.11585761,0.13990545,0.1315175,0.049336758,0.03322763,0.018983452,0.056985233,0.1483938,-0.14678706,-0.09174217,0.12104731,-0.0011033365,-0.046564285,-0.10154645,0.033967406,0.05393488,-0.008268907,-0.12159311,0.014297656,0.009443361,0.0351252,0.094824575,0.05565381,-0.09873912,0.120504834,-0.007265012,0.052171156,0.025776705,0.078755595,-0.0758452,-0.22339432,0.022277024,-0.11225595,-0.024888663,-0.15431574,-0.15250576,-0.019151255,0.055732798,-0.08506832,0.0810832,0.024035884,0.08393578,0.0038761194,0.012423777,-0.047998298,0.09028141,-0.029888608,0.005980179,-0.024071177,-0.07851436,-0.077326894,0.22438395,-0.05439623,0.14780137,-0.09903535,0.0522092,-0.017419605,0.020843994,0.042530928,0.028117556,0.034607977,0.09593972,0.033170316,-0.04847808,-0.033204272,-0.0037947525,0.07332718,-0.0056036497,0.07014936,-0.045797534,0.009641189,0.17451224,0.086239904,0.012742136,0.023544973,0.025430197,-0.15991376,0.028282447,-0.039416317,0.0034415685,0.007464947,-0.10445231,0.005127136,-0.036419548,0.09672165,-0.122161545,0.11084879,-0.14499064,-0.10091415,-0.13295554,-0.074810475,0.06722786,-0.042025052,-0.03875695,-0.12359748,-0.19435662,0.06573762,-0.017920658,0.024580626,0.0047344128,0.10399643,-0.008268505,0.017486949,0.06637503,0.13468237,-0.123404935,-0.06783729,0.05954581,-0.04019069,0.085431695,-0.1372397,0.15131687,0.06547271,-0.017633768,0.088921785,0.0032113893,-0.0055226358,-0.032821957,-0.17509039,-0.12222264,-0.024823507,-0.17518629,0.044025376,0.21857423,-0.06670368
3,0.07854808,0.046271395,-0.023958135,0.091487095,-0.11847563,-0.063759826,-0.0013151487,-0.016899543,-0.098491214,0.008322875,-0.09678626,0.11112272,0.045829043,0.04258389,0.09069546,-0.12176637,0.053802337,0.18590416,-0.04800346,0.05312741,0.0089466,0.102209345,0.028400447,-0.02476125,-0.0045499816,0.035257068,-0.12066246,-0.118622385,0.0027378171,-0.013448062,-0.120524585,-0.12203956,-0.002992408,0.17205451,-0.04832094,0.07761006,-0.09045753,0.06706664,0.12294971,-0.10819582,0.068954,0.061551172,-0.19542685,0.0047684885,0.023329696,0.06200075,-0.0761816,0.11191134,-0.17060061,0.08810464,0.026291816,0.05287618,0.047119536,-0.117068134,-0.07762885,0.1355927,-0.10105206,-0.04459504,-0.111040935,0.0093420455,-0.080344215,-0.02373129,0.030297216,-0.12974857,-0.24637845,-0.09176819,-0.0037893,-0.053354334,0.021310367,6.386871e-05,0.018311556,0.018121662,0.17960803,0.08649958,-0.12204448,-0.028175693,0.028459169,-0.106418245,0.011176318,0.044030562,0.055332225,-0.11380114,-0.10319579,-0.013247456,0.0664106,0.043228652,0.044430252,-0.055667084,0.10274545,-0.02131545,0.055653483,-0.026713485,0.051251538,0.10552075,-0.11880876,0.112290576,0.039779603,0.05978348,0.24816547,-0.090653256,-0.024345068,-0.07790108,0.0777886,-0.03138249,0.06291202,0.020565689,-0.14349934,-0.05850124,-0.01739901,0.10742852,-0.0731904,-0.00021106639,-0.069692485,0.052910194,-0.11212935,0.03627185,0.09584749,-0.16844805,-0.016221054,-0.008320889,0.042174347,-0.03377105,-0.029727664,-0.112713575,0.16256012,0.010227406,-0.15727565,-0.1309674
4,-0.062833734,0.021386089,0.06459306,-0.06688935,-0.0007946442,-0.03722602,-0.023953471,0.013566002,-0.038326748,-0.10684125,-0.076255426,-0.024319468,0.061123617,-0.033615418,0.04641649,0.093998246,-0.010561731,-0.12766795,0.17147279,-0.07549515,0.037423592,-0.09904789,-0.082362235,-0.027123502,0.041309666,-0.15425614,0.1788981,0.092023484,-0.06240666,0.057085343,0.17058825,0.03179519,0.15618898,0.044592585,0.07188321,-0.008976832,0.14635311,0.03182309,0.022780515,-0.023900354,-0.10668936,-0.060889658,0.16597731,0.0086811865,-0.15608089,-0.07134281,0.041827753,-0.03841402,0.095789105,-0.06198536,-0.14676991,-0.009939936,0.027142685,0.16057017,-0.18651876,-0.10766292,-0.07191698,0.038288426,0.24783567,-0.103850104,0.017294817,0.008254007,0.050219774,0.24607809,0.14434849,0.20170948,0.0057618716,0.055139143,-0.10846058,0.0145195415,0.07676949,-0.0832881,-0.077107154,0.04914575,0.010044299,-0.09022491,-0.022364711,-0.027223231,-0.08155606,0.10846905,-0.06833372,-0.03887486,0.06272413,-0.006536663,-0.08820147,-0.071507804,-0.04986545,-0.015468359,-0.015156424,-0.023701772,0.022394314,0.123529345,-0.037029967,-0.071004584,-0.015239578,-0.1203246,0.04017781,-0.008534012,-0.16717254,0.04215056,-0.04885065,0.009806324,0.02143224,0.086009815,-0.09555601,-0.07775114,0.032454364,0.01995804,0.16145219,-0.09343592,-0.0017458173,-0.02141573,-0.024641102,-0.0007725046,-0.0024569705,-0.095733754,-0.053640455,0.06965577,0.19277777,-0.09277451,0.039880086,0.03229644,0.07334242,0.14982347,0.013267387,-0.0043917946,-0.056514617,0.12611996
5,0.11642818,0.09322279,0.17523246,-0.12918055,0.092770554,0.01969764,0.027108658,0.12112664,0.07650254,-0.035734534,-0.012113928,-0.13232467,-0.12929109,0.09987035,0.065415725,0.011557624,-0.061590698,0.005490503,0.050976142,0.019109288,-0.127156,-0.11414954,-0.098093994,-0.00892817,0.122161515,0.016059892,0.0140795335,0.0932004,-0.04331428,-0.02557599,-0.056025017,0.13983381,0.09971877,-0.1186337,0.020172788,-0.027846178,0.0464874,-0.14641856,0.035393283,-0.04169977,0.034424655,-0.072555095,0.14286932,0.05779098,-0.18740475,0.013268783,-0.0048818253,-0.058986787,0.005817202,0.044748664,-0.03800308,-0.025353812,0.12515633,-0.012614001,-0.03529803,-0.044219684,0.0997789,0.013686576,0.18697561,-0.06106223,0.038916115,0.07580253,0.0096307425,0.30835477,0.091951646,0.13709788,0.119547896,0.034716573,-0.20418374,-0.016853059,0.0006358576,-0.08516153,0.0146691045,0.15005866,0.13591987,-0.0035394463,0.014164423,-0.013995135,-0.019936696,0.007905083,0.0061354754,-0.05690641,-0.054619562,0.0024182894,-0.061807465,-0.03047967,-0.08090805,0.022687117,-0.04146337,0.07967767,-0.029145004,0.05852428,-0.013316395,-0.03416042,0.20262872,-0.15203035,0.06362901,-0.092411086,-0.18301532,0.04083637,-0.11241384,0.036900453,0.061359838,0.116971895,0.017811585,-0.02263098,0.01908891,0.0034150684,0.14162415,-0.055053104,-0.046618026,-0.051483173,-0.04131059,-0.09714999,-0.028828368,0.12973791,-0.06861017,0.11789797,0.09786024,0.017457979,-0.10481455,-0.029411871,-0.14010517,0.034049083,-0.10885577,0.1360375,0.027635004,-0.023044603
6,0.15634845,0.067885004,0.10041553,-0.045874618,0.029827766,-0.082079835,0.113957986,0.1492259,0.031156547,-0.055475447,-0.0686055,-0.016858837,-0.031076929,0.0020976102,0.049928777,-0.010916308,0.03370353,-0.0072805514,-0.07009807,-0.022634644,-0.062303342,-0.100510284,-0.13303952,0.07596193,0.06233275,0.06561753,0.07160441,-0.019563675,-0.10123007,-0.054344855,0.033146363,0.09980929,0.119172096,0.034484807,0.10198989,0.16899733,0.017186994,-0.06722912,0.10214871,-0.07460273,0.020770613,-0.089035876,0.10419053,0.07088857,-0.1684553,-0.04170095,-0.00056558556,-0.043492634,-0.07823553,0.1334006,-0.026827492,0.024260042,0.20291387,0.07109016,-0.097008705,-0.014175746,-0.010512268,0.053614207,0.15827449,-0.04897062,-0.012895324,-0.037480984,-0.0064472654,0.30882746,0.051060546,0.13740695,0.11884071,0.063033216,-0.12996595,-0.08692782,0.1272101,-0.08643331,-0.007847394,0.16185346,0.070663914,-0.054162525,0.014595134,-0.026167115,-0.027838776,0.027783217,-0.117131926,-0.052298624,0.02568084,0.10638971,0.026573503,-0.023885189,-0.07091646,0.018520996,0.025398923,-0.05922795,0.0647711,0.10244332,0.072760835,-0.061067276,0.15133467,-0.07970823,0.0040365774,-0.07386072,-0.020118449,-0.020145256,-0.17354427,-0.013875504,0.10144672,0.12645733,0.060107484,0.022871925,-0.043024074,0.015590629,0.1945474,-0.06326623,0.008816178,-0.017849607,-0.052024607,-0.030091306,-0.14805798,0.044179436,-0.1420934,0.019238299,0.15282457,0.0034418474,0.044021618,0.023088269,-0.032628596,0.032580342,0.029912747,0.2111635,-0.17042808,0.053955562
