filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
Allena - Appelle Moi Scott Rill Remix.wav,157.888,2765.925440889075,1281.6126806503898,3423.461118251261,1111.229905721113,0.04897269952670067,0.03786706384741774,0.22237947583198547,0.09147577732801437,127.8409090909091
Anto Lyle M - Just Fine.wav,207.86133333333333,3725.7104901672824,1302.226871814842,3805.6416977408003,845.2293610645838,0.0779420198086643,0.04555044379876934,0.2690921723842621,0.13521309196949005,122.28260869565217
Ben Delay - Out Of My Life Calippo Remix.wav,229.568,2558.9936760366027,1489.5060809227457,3216.636676127006,1135.355345314207,0.047165046730532456,0.044538207072161266,0.2620795965194702,0.14703552424907684,125.0
Blinkie - Dont Give Up On Love.wav,180.9298866213152,2987.2042624876945,1128.233109910242,3061.2864753561253,646.529955431288,0.06935934116337825,0.04529041598025479,0.1297975480556488,0.06439785659313202,123.046875
Bodybangers - Youre Not Alone Lyrics.wav,159.392,2669.30581593976,1443.6935176612708,3452.0822010809716,1147.820953155762,0.03863028744813972,0.03905920261326251,0.31297025084495544,0.15948529541492462,127.8409090909091
BOULEVARD OF BROKEN DREAMS -Dan Port Fella Official Video.wav,133.856,2663.6936197312075,1416.654920428073,3436.538465953742,935.8526721567378,0.038032129295318726,0.03553873622769774,0.3032069802284241,0.13485080003738403,125.0
Boyz N Da Club Radio Edit - Shermanology.wav,141.0031746031746,2623.081780617331,1538.5891598483818,2719.487331437889,811.6016356852243,0.06047957853923102,0.06362736679848442,0.23992259800434113,0.1397014707326889,129.19921875
Calippo - Down On Me.wav,222.88,2901.109999694659,1719.3822443293227,3431.2196925638586,1214.636358834311,0.056635086970891556,0.0505535501659789,0.3292543590068817,0.1433519870042801,122.28260869565217
Dallerium - Need U.wav,191.63733333333334,2409.345263434739,1460.6559727467625,2876.891929422979,1250.1925916771233,0.04821570122481494,0.043669117796618,0.29697975516319275,0.16364997625350952,122.28260869565217
David Guetta Cedric Gervais Chris Willis Would I Lie to You Official Video.wav,194.53866666666667,3138.7930011274793,1417.1081469029434,3637.2801734147542,1095.59445584067,0.05732556802216404,0.0456039096584603,0.21464017033576965,0.09314068406820297,125.0
DIE YOUNG - Old Jim Guapa Official Video.wav,170.37866666666667,3594.74366120484,1283.2137986232522,3989.9520200131606,605.40093087674,0.06827442861251096,0.04881678520396511,0.2520171105861664,0.13334012031555176,127.8409090909091
DJ Carlos Rivera - CHILDREN Official Video.wav,158.912,3332.735820759342,1979.624491229365,3712.611409117061,1307.5475162818325,0.05735883988648567,0.05561330633941913,0.25465691089630127,0.14209765195846558,125.0
DOD - Sleepless.wav,183.05066666666667,2463.550310000845,890.6218071609685,2815.122899244571,802.3011305023238,0.05272077527750262,0.027785531138836674,0.2368086725473404,0.14059408009052277,122.28260869565217
