subgenre,track_count,duration_s_mean,duration_s_std,centroid_mean_hz_mean,centroid_mean_hz_std,centroid_std_hz_mean,centroid_std_hz_std,bandwidth_mean_hz_mean,bandwidth_mean_hz_std,bandwidth_std_hz_mean,bandwidth_std_hz_std,zcr_mean_mean,zcr_mean_std,zcr_std_mean,zcr_std_std,rms_mean_mean,rms_mean_std,rms_std_mean,rms_std_std,tempo_bpm_mean,tempo_bpm_std
Chiller vibe goa,54,299.97687410766775,79.82106179874228,2093.9136859828245,356.8698019075642,1396.3152674302846,216.2231923781168,2697.7035553383753,324.6744250946277,1187.2362420375848,145.64625340139278,0.03662785518161794,0.008693766161490932,0.03891976912305086,0.010479492867942515,0.2784041199419234,0.04090501476229953,0.1602880678795002,0.022866776720914216,136.88901319036074,10.067134459105619
Party Goa,62,283.39243069270714,83.03584482181739,2594.5668373905214,385.11583447094114,1396.5890071660815,182.67991707458407,3013.7015199827774,314.4273244763451,1071.8592311743034,147.1753001202621,0.049769601981996855,0.011500197486289844,0.04607415455693713,0.010714135350996207,0.27780704608848017,0.03480863211831211,0.15725487506678026,0.020970211337245255,140.96050328384348,5.474033100261292
Zyzz Music,77,162.6828468614719,44.27054105162297,3763.538113671296,632.3620209017137,1320.4053132607628,284.35821039852885,4112.535791549775,488.5823175002741,1047.3364070578996,315.64153512115115,0.06686241078388126,0.01731898081107152,0.042181049778732035,0.009876265645333008,0.29297200019483444,0.07924130878040447,0.13308560441840778,0.03404160536390026,124.86936046540866,20.48832681575491
Chill House,81,258.58423690896115,86.60160433449097,2810.089911576273,695.5166533664491,1567.3280372836455,349.9717085382758,3250.581809020114,546.1198832604589,1038.8801016968862,227.86589580678586,0.052730141087853774,0.0189381846122257,0.04896402872989647,0.017138473430279917,0.23457358207231688,0.06270319111722181,0.13660515131957737,0.03219725703253576,125.1368328876189,7.730166029592294
Party House,69,195.89719009209963,50.552072078228505,3014.2461464619973,537.6551365005961,1463.6307352512874,245.032860878235,3414.3583476403273,410.3241840459562,970.9286358057246,208.91673645224589,0.057105863024330655,0.015726788509836536,0.0476571570094724,0.012621544616459672,0.25804835158413736,0.049024432889704754,0.13236740976572037,0.026013614335586657,125.09054518756648,3.548904289893218
Dark Techno,86,391.47363032945736,79.60197384277299,2321.809680132039,632.8645664529098,1336.2409071961226,299.15622578509453,2973.4205460097623,647.1058981734934,1070.9537252629602,275.48978995177674,0.03401151532372594,0.010418319490170372,0.03446108269341318,0.011239513538032712,0.30921650062813316,0.060809877906701414,0.13681216128603663,0.03395532209324487,136.24988184737762,8.350962397574616
Emotional Techno,75,189.67490916666668,57.29166383998617,2709.340309823473,738.1382054916468,1440.123753699217,285.06215521963844,3278.712230092346,623.6492735095313,1093.51233699701,246.15744114198998,0.045818986008027626,0.015630291177596813,0.04042226110354654,0.012389347685710957,0.27174974769353866,0.06262787135676476,0.1414775973558426,0.034396063005517265,140.21828418533252,18.092942386865108
