filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
98 Sunset.wav,236.94933333333333,2487.8850901217024,1509.433352704055,3392.486272525263,1168.7871635525148,0.03354110837975467,0.03182338214531478,0.29929250478744507,0.16491000354290009,137.1951219512195
A Fire Inside Of Me.wav,230.496,2766.8000437505393,1322.0158943396805,3353.037563642916,952.4634671867557,0.04392549655107589,0.0356127695036163,0.0851614698767662,0.050172530114650726,165.44117647058823
Act Like Love.wav,232.13866666666667,2678.9483214828056,1584.7412261789925,3184.418255354506,831.8790245943457,0.043128892968319246,0.05480550131979122,0.20300422608852386,0.11994569003582001,125.0
ANOTR - Canvas.wav,254.69866666666667,2485.3641965268052,998.4914054487647,3257.948500570316,728.2848662932735,0.04546853570344236,0.03654842683440976,0.14805592596530914,0.15502125024795532,125.0
Ape Drums - Nobody Knows ft Clementine Douglas Belters Only Remix.wav,192.44698412698412,2581.5737028919907,1328.6182531016052,3201.8985999717956,932.4518214395214,0.043140563025954634,0.037575689074818494,0.2812482714653015,0.17648595571517944,129.19921875
Bellaire - Paris City Jazz.wav,338.4746666666667,4758.252000288322,2610.82338908075,4379.542573620013,1342.88328952364,0.10632044556829641,0.08891436275227997,0.22343352437019348,0.1181500181555748,125.0
Bellaire - Take Five Official Audio.wav,185.61066666666667,3437.984104640254,1521.3306435969992,3653.824161912313,916.4724793687895,0.06642401129360131,0.055414539397215794,0.25257930159568787,0.1258183717727661,125.0
Bolier AMRV - Get Close.wav,178.50340136054422,2927.316565585625,1569.4455534740678,3343.3181257405186,1029.351395371861,0.06000098824873179,0.05191227198078862,0.2415657341480255,0.14092859625816345,123.046875
Calvin Harris - Blessings ft Clementine Douglas.wav,215.70133333333334,2646.114681079702,1167.6748370687058,3200.716651711096,803.9909898682167,0.042602134636305196,0.03279771457428803,0.3055048882961273,0.1528506577014923,130.8139534883721
Calvin Harris Clementine Douglas - Blessings Official Visualiser.wav,215.70133333333334,2825.896431159318,1247.6763406324826,3354.6707190939433,817.7481415617865,0.045877914379666714,0.035624084980057036,0.3002278506755829,0.1461487114429474,130.8139534883721
Chris Lake - Savana Saleh Remix House.wav,339.63733333333334,2459.126456771176,1489.7560193595657,3057.189741360683,1087.007514742433,0.04098785421475567,0.04617801184431682,0.3158368468284607,0.1813243329524994,130.8139534883721
deadmau5 Kaskade - I Remember HQ.wav,587.7973333333333,2069.4199045687915,1225.4182026408516,2874.6553994183837,1106.4902240842177,0.02969634642604388,0.029027679739019648,0.3017120659351349,0.13544417917728424,127.8409090909091
DJ Katch x Amira Eldine - Youre Makin Me High.wav,162.11011337868482,2594.88725459431,1175.1281240478968,3273.562896025,883.4734596125445,0.043427379108779716,0.03652642452082243,0.2695730924606323,0.14196722209453583,126.04801829268293
Do To Me Extended Mix.wav,202.53866666666667,2839.4651715637283,2237.384556897374,3074.9112886260295,1220.1493448453803,0.06546170130569014,0.08563027622516851,0.1825912743806839,0.14388872683048248,127.8409090909091
Doverstreet - THANK YOU Official Video.wav,172.75733333333332,1488.1073189988601,1255.0341756039886,2156.664511768378,1352.8785176907484,0.02273056690668025,0.02297082203568728,0.2444530725479126,0.11762645095586777,100.44642857142857
Duke Dumont Zak Abel - The Power Extended Mix.wav,377.696,3853.179107724069,1927.1364765200112,3897.249683247723,1036.4825621380194,0.07941826273916266,0.07909201186439017,0.26401829719543457,0.14339956641197205,122.28260869565217
Eli Fur - Youre So High.wav,321.568,3753.6710150532576,2364.480775644662,4355.823145641867,1609.3100678481328,0.05537522052665185,0.0658422890596227,0.2989594340324402,0.17872899770736694,119.68085106382979
