filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
753 - Where is The Heaven Official Videoclip.wav,443.34933333333333,2961.4735692158806,1422.3262727048623,3512.726870552123,1163.5389096212764,0.04378024959025021,0.04377006985191671,0.3005427420139313,0.18167859315872192,133.92857142857142
Amstra - Ghost Ravers.wav,466.38933333333335,1805.7226625193846,964.4999290924818,2460.1794555810193,953.7996353172744,0.02678593124642653,0.021559055312895977,0.354846328496933,0.14056406915187836,140.625
Amstra - Soul Original mix.wav,432.704,1799.4607961647484,1202.2297107252311,2196.0502937473702,1049.972907511666,0.0318568640112345,0.028966490254106914,0.33016151189804077,0.09349826723337173,137.1951219512195
ANNA Dimensions Drumcode DC215.wav,361.89866666666666,2907.1179290475593,1582.7793225567252,3727.5913709662873,1052.9112430600933,0.0404653173953329,0.04228771982255141,0.3056540787220001,0.12950904667377472,130.8139534883721
Ben Dust Klanglos - I Lost Myself.wav,361.088,2710.162370566407,1419.422218518703,3503.8333737038865,1104.1784583046965,0.032838439355448557,0.03237464741017354,0.3247811198234558,0.15655343234539032,133.92857142857142
Boston 168 - Rise Again ATTICL002.wav,366.784,1410.8538543963402,1149.477293266322,2078.3338849732913,1091.5338173919604,0.019688567241072208,0.01976369214956231,0.2549949884414673,0.1010366901755333,125.0
Chaos Reign.wav,345.29066666666665,2988.3470680823243,1115.210227541574,3418.4304466417634,941.7622270451702,0.04286930485353855,0.03709265391853851,0.3049466609954834,0.11361943185329437,144.23076923076923
Cloudless.wav,473.99466666666666,1438.2046660982342,821.5164616759594,2336.9535910144264,1170.7400068168913,0.020890587728970702,0.01689071549750086,0.3209449350833893,0.2230135202407837,144.23076923076923
Coyu - Flangerism Original Mix.wav,359.6693333333333,2790.9650367065087,1262.2909948990334,3702.714164549977,795.0488356118475,0.036767534683607654,0.03888811012163277,0.3607361614704132,0.12959471344947815,133.92857142857142
Cryptik aka Johannes Heil - Source Code.wav,458.752,1328.9895474990426,1027.8439550215803,1829.1646710749612,444.74684091549267,0.024660082046780905,0.03356410886793644,0.2426927536725998,0.14413265883922577,127.8409090909091
Daydream.wav,452.37333333333333,1896.327613083391,784.6390087775973,2431.9548229371417,408.18613476161454,0.029139502704929147,0.024926028714306128,0.3938407897949219,0.13908635079860687,137.1951219512195
Digesting the Reality.wav,346.304,1763.8354133834093,1129.2559148357423,2246.6809846225674,965.9317526927696,0.032845099206501985,0.030974011051461744,0.22546109557151794,0.10619411617517471,140.625
Dusty Kid - Pantagruel Original Mix Suara.wav,374.70933333333335,2352.5997315863656,1662.9695388614612,2914.41959758427,1540.178069658225,0.03741607622580415,0.03906658627088381,0.26103949546813965,0.16945001482963562,130.8139534883721
Dusty Kid - Sysma Original Mix Suara.wav,427.7866666666667,1815.4128900714543,1568.90109938998,2526.9348552073766,1449.5526714762418,0.026921955158673266,0.03320025651939743,0.29810264706611633,0.12153154611587524,127.8409090909091
Dystopia.wav,443.136,1946.905489115684,1208.2432374232415,2528.1116159974713,1018.655582304137,0.032307823218798895,0.029093018601891413,0.3084486126899719,0.12147004157304764,130.8139534883721
Echoes Of October Tham - Das Leben Deiner Augen.wav,485.024,2968.211409762803,1591.7844454907545,3463.7571754965406,1070.3141655515838,0.04050405288900312,0.04361256051733206,0.3084823787212372,0.15911051630973816,144.23076923076923
ECHOES Orignal Mix.wav,242.34666666666666,2922.7234264910066,1946.4131274268423,3485.174595306955,1441.4718381933303,0.043174756076427095,0.0473527344802747,0.27249622344970703,0.1324528455734253,148.02631578947367
Ekvsiani - Rainy Autumn.wav,454.51733333333334,2933.2479614014974,1810.1302072894844,3535.7332522169745,1635.9629167665785,0.04781340478474373,0.041193081204698105,0.27512550354003906,0.08180350810289383,140.625
Emotional 2023 Edit.wav,391.92533333333336,3724.8684995202902,1326.7010350565565,3981.81547509782,994.0439782677355,0.060607538071691974,0.054518635299949825,0.34113752841949463,0.1865675151348114,148.02631578947367
Ephaze - Tkivili GATE003VA.wav,369.152,3129.5423923070966,1205.005228569461,3870.800297700502,832.4148167621768,0.03892817292376983,0.03197185522002997,0.2993148863315582,0.13531574606895447,144.23076923076923
